Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Off-Premise Alcohol Outlets,HIA reports,"2011, January","A supplemental HIA on Baltimore, Maryland’s comprehensive zoning code rewrite to examine the relationship between liquor outlets and violence, with the goal of informing the “non-conforming alcohol outlet amortization proposal” to prevent an increase in nuisances in city communities.",Baltimore City Health Department,,Baltimore,Maryland,,Planning and zoning,"Legislation,Addictive substances and behaviors,Regulation","Community safety,Income and wealth,Alcohol, tobacco, and drug use",Local,Urban,Government agency,Economically disadvantaged,"Literature review,Quantitative research,Qualitative research",No,Other funding,Completed
Vacants to Value,HIA reports,In progress,An HIA to identify the health effects of the Baltimore Housing Department’s Vacants to Value plan to stimulate economic growth on city blocks and in communities with high vacancy rates.,Baltimore City Health Department,,Baltimore,Maryland,,"Community development,Housing","Economic development,Redevelopment","Income and wealth,Safe, affordable, and healthy housing",Local,Urban,Government agency,Economically disadvantaged,,No,Other funding,In progress
Baltimore City's Comprehensive Zoning Code Rewrite,HIA reports,"2010, January","An HIA that examined the potential health effects of the city’s proposed zoning code revisions and focused on issues including obesity, physical activity, nutrition, and violent crime.",Johns Hopkins Bloomberg School of Public Health,,Baltimore,Maryland,,Planning and zoning,"Regulation,Long-range planning,Economic development,Food and nutrition,Land-use planning,Active transportation","Alcohol, tobacco, and drug use,Access to healthy food,Diet and physical activity,Safe street infrastructure,Community safety",Local,Urban,Educational institution,"Economically disadvantaged,Racial and ethnic minorities","Qualitative research,Primary research,Quantitative research",Yes,Other funding,Completed
West North Avenue Streetscape Plan,HIA reports,"2015, June","A health impact assessment of the West North Avenue Streetscape Plan, an urban redevelopment project for a major east-west corridor in Baltimore, Maryland.",Baltimore City Health Department,,Baltimore,Maryland,,"Planning and zoning,Community development","Economic development,Active transportation,Public transit,Parks and green spaces,Bridges and roads,Planning,Redevelopment","Family and social support,Safe and accessible active transportation routes,Safe and affordable public transit,Community safety,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,Economically disadvantaged,"Primary research,Literature review",No,Other funding,Completed
Lawrence Green Streets Program,HIA reports,"2017, March","An analysis of the potential health benefits of planting street trees in the Arlington and South Common neighborhoods in Lawrence, Massachusetts.",American Planning Association’s Sustainable Communities Division; American Planning Association’s Massachusetts Chapter; Groundwork Lawrence,,,Massachusetts,,"Community development,Natural resources management,Planning and zoning","Resilience and sustainability,Emergency preparedness/ response,Mental/behavioral health,Parks and green spaces,Land-use planning,Treatment alternatives,Redevelopment,Economic development,Water,Siting","Diet and physical activity,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe and accessible active transportation routes,Safe street infrastructure,Clean air and water,Community safety,Family and social support,Disease vectors,Noise",Local,"Urban,Suburban",Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities,Mental illness,Chronic health conditions","Quantitative research,Qualitative research,Focus groups,Literature review",Yes,Other funding,Completed
McGrath Highway Corridor Redevelopment,HIA reports,"2013, July","An HIA to inform the redevelopment of McGrath Highway in Somerville, a suburb of Boston.","Massachusetts Department of Public Health, Massachusetts Department of Transportation",,Somerville,Massachusetts,,"Planning and zoning,Transportation","Land-use planning,Parks and green spaces","Clean air and water,Community safety,Safe and affordable parks and recreational facilities",State,Urban,Government agency,"Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Quantitative research,Literature review",Yes,Health Impact Project grantee,Completed
Healthy T for a Healthy Region,HIA reports,"2012, March",A health impact assessment of two proposals for fare increases and service cuts aimed at closing the Boston T’s projected deficit.,"The Metropolitan Area Planning Council, with Harvard School of Public Health and the Boston University School of Public Health",,Boston,Massachusetts,,Transportation,Public transit,"Access to services/medical care,Clean air and water,Diet and physical activity,Safe and affordable public transit",Regional,Urban,Educational institution,"Economically disadvantaged,Racial and ethnic minorities",Quantitative research,No,Other funding,Completed
Fitchburg Vacant Lots,HIA reports,"2013, January","An HIA to examine the City of Fitchburg, Massachusetts’ proposals for the redevelopment of vacant lots.","City of Fitchburg, Montachusett Opportunity Council, Montachusett Regional Planning Council, Massachusetts Department of Public Health, Fun ‘n FITchburg",,Fitchburg ,Massachusetts,,"Agriculture,Planning and zoning","Active transportation,Food and nutrition,Land-use planning,Mental/behavioral health,Parks and green spaces,Water","Access to healthy food,Community safety,Diet and physical activity,Family and social support,Income and wealth,Safe and accessible active transportation routes",Local,Urban,Government agency,"Economically disadvantaged,Racial and ethnic minorities","Primary research,Literature review,Focus groups",No,Other funding,Completed
Regional Climate Action Plan Strategies in Western Massachusetts,HIA reports,"2017, March",An HIA exploring the health effects of strategies outlined in the Pioneer Valley (Massachusetts) Climate Action and Clean Energy Plan.,"Massachusetts Department of Public Health, Pioneer Valley Planning Commission, municipalities of Springfield and Williamsburg",,,Massachusetts,,"Energy,Planning and zoning","Mental/behavioral health,Resilience and sustainability,Utilities","Clean air and water,Safe, affordable, and healthy housing,Safe and affordable public transit",Regional,Urban,Government agency,"Children,Chronic health conditions,Economically disadvantaged,Older adults","Literature review,Quantitative research",No,Other funding,Completed
Massachusetts Domestic Workers’ Bill of Rights,HIA reports,"2014, June","An HIA to inform the establishment of a Massachusetts Domestic Workers’ Bill of Rights, which would amend state labor laws to guarantee basic standards and protections for domestic workers.",Health Resources in Action,,,Massachusetts,,Labor and employment,"Human resources policies, benefits,Legislation,Mental/behavioral health,Wages","Access to services/medical care,Employment,Family and social support,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Primary research,Focus groups,Literature review,Quantitative research,Qualitative research",No,Health Impact Project grantee,Completed
Massachusetts Community Investment Tax Credit Grant Program,HIA reports,"2014, September",An HIA to inform regulations by the Massachusetts Department of Housing and Community Development to guide the release of funding for community development corporations.,"Health Resources in Action, in partnership with the Massachusetts Department of Public Health and the Metropolitan Area Planning Commission",,,Massachusetts,,"Community development,Tax and budget policy","Regulation,Planning,Financing,Economic development,Workforce development","Adverse childhood experiences,Safe and affordable parks and recreational facilities,Safe, affordable, and healthy housing,Clean air and water,Employment,Community safety",State,"Urban,Suburban,Rural",Nonprofit organization,"Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Primary research,Qualitative research,Literature review",No,Health Impact Project grantee,Completed
Just Cause for Eviction,HIA reports,"2016, January",A rapid health impact assessment evaluating the potential health effects on renters of Boston’s proposed Just Cause for Eviction Ordinance.,"Department of Urban Studies and Planning at the Massachusetts Institute of Technology, the Metropolitan Area Planning Council",,Boston,Massachusetts,,Housing,"Legislation,Mental/behavioral health","Diet and physical activity,Income and wealth,Safe, affordable, and healthy housing",State,Urban,Educational institution,"Economically disadvantaged,Racial and ethnic minorities","Literature review,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
Massachusetts Small Business Technical Assistance Program,HIA reports,"2016, February","An HIA to inform state decisions on funding for the Small Business Technical Assistance Program, an initiative that incubates and supports small businesses in underserved Massachusetts communities.",Harvard Center for Population and Development Studies,,,Massachusetts,,Tax and budget policy,"Economic development,Financing,Mental/behavioral health","Access to healthy food,Income and wealth,Safe, affordable, and healthy housing",State,"Urban,Suburban,Rural",Educational institution,Economically disadvantaged,"Primary research,Qualitative research,Literature review",No,Health Impact Project grantee,Completed
Boston Living Wage Ordinance,HIA reports,"2016, May",An HIA to inform decisions by the mayor and city council on proposed changes to the Boston Living Wage Ordinance.,Boston Public Health Commission,,Boston,Massachusetts,,Labor and employment,"Mental/behavioral health,Legislation,Wages","Adverse childhood experiences,Community safety,Diet and physical activity,Employment,Income and wealth,Safe, affordable, and healthy housing",Local,Urban,Government agency,"Children,Economically disadvantaged","Qualitative research,Focus groups,Quantitative research,Literature review",No,Health Impact Project grantee,Completed
Quequechan River Rail Trail Phase 2,HIA reports,"2012, January","An HIA of the proposed Phase 2 of the Quequechan River Rail Trail project in Fall River, Massachusetts.","Metropolitan Area Planning Council, Massachusetts Department of Public Health",,Fall River,Massachusetts,,Planning and zoning,"Active transportation,Economic development,Parks and green spaces","Clean air and water,Community safety,Diet and physical activity,Family and social support,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Quantitative research,Qualitative research,Literature review",Yes,Other funding,Completed
